<PRE>                                                                                         
                                                                    Fant             Fant
Rk                      Player FantPt Season Age   Team G GS FantPt  PPR FantPt PPR/G Pos
260            Chris Rodriguez    9.8   2025  25    WAS 2  2    9.8  9.8   4.90  4.90  RB
261          Xavier Hutchinson    9.7   2025  25    HOU 4  2    9.7 18.7   2.43  4.68  WR
262             Michael Wilson    9.6   2025  25    ARI 4  3    9.6 15.6   2.40  3.90  WR
263                Isaiah Bond    9.4   2025  21    CLE 4  1    9.4 16.4   2.35  4.10  WR
264             Donte Thornton    9.4   2025  23    LVR 4  3    9.4 14.4   2.35  3.60  WR
265           JaTavion Sanders    9.2   2025  22    CAR 3  3    9.2 20.2   3.07  6.73  TE
266                Jaylin Lane    8.9   2025  23    WAS 4  0    8.9 13.9   2.23  3.48  WR
267                 Jack Stoll    8.8   2025  27    NOR 4  2    8.8 11.8   2.20  2.95  TE
268               Brock Wright    8.8   2025  27    DET 4  1    8.8 11.8   2.20  2.95  TE
269               Luke Farrell    8.7   2025  28    SFO 5  3    8.7 14.7   1.74  2.94  TE
270                Drew Sample    8.7   2025  29    CIN 4  3    8.7 11.7   2.18  2.93  TE
